iso3,glottocode,parallel_score,n_pairs_total,total_sent_pairs,n_corpora
yky,yakoma,0.0,0,0,0
avd,alviri-vidari,0.0,0,0,0
lml,hano,0.0,0,0,0
ojv,luangiua,0.0,0,0,0
kev,kanikkaran,0.0,0,0,0
hum,hungan,0.0,0,0,0
aja,aja (south sudan),0.0,0,0,0
kiw,northeast kiwai,0.0,0,0,0
wll,wali (sudan),0.0,0,0,0
bee,byangsi,0.0,0,0,0
pqa,pa'a,0.0,0,0,0
doy,dompo,0.0,0,0,0
lae,pattani,0.0,0,0,0
mra,mlabri,0.0,0,0,0
kba,kalarko-mirniny,0.0,0,0,0
kwa,dâw,0.0,0,0,0
duc,duna,0.0,0,0,0
xiy,xipaya,0.0,0,0,0
sbw,simba,0.0,0,0,0
gct,colonia tovar german,0.0,0,0,0
nuf,nusu,0.0,0,0,0
sif,siamou,0.0,0,0,0
ads,adamorobe sign language,0.0,0,0,0
nyj,nyanga,0.0,0,0,0
kfm,khunsaric,0.0,0,0,0
xbp,bibbulman,0.0,0,0,0
ndt,ndunga,0.0,0,0,0
tyj,tai do-mene-yo,0.0,0,0,0
pci,duruwa,0.0,0,0,0
ret,reta,0.0,0,0,0
kvq,geba karen,0.0,0,0,0
bwl,bwela,0.0,0,0,0
bzr,biri,0.0,0,0,0
nyi,ama (sudan),0.0,0,0,0
cdn,chaudangsi,0.0,0,0,0
bcg,pukur,0.0,0,0,0
mml,man met,0.0,0,0,0
doa,dom,0.0,0,0,0
knt,panoan katukína,0.0,0,0,0
akr,araki,0.0,0,0,0
yel,yela-kela,0.0,0,0,0
bwj,láá láá bwamu,0.0,0,0,0
mbo,mbo (cameroon),0.0,0,0,0
gex,garre,0.0,0,0,0
pnj,pinjarup,0.0,0,0,0
mxx,mahou,0.0,0,0,0
ard,arabana,0.0,0,0,0
bhn,gardabani bohtan neo-aramaic,0.0,0,0,0
ahm,mobumrin aizi,0.0,0,0,0
mll,malua-tepërav,0.0,0,0,0
qlm,limonese creole,0.0,0,0,0
ppp,pelende,0.0,0,0,0
hio,northern tshwa,0.0,0,0,0
aya,awar,0.0,0,0,0
dbw,bankan tey dogon,0.0,0,0,0
ssn,waata,0.0,0,0,0
vgr,vaghri,0.0,0,0,0
der,deori,0.0,0,0,0
bgo,baga koga,0.0,0,0,0
xgg,goreng,0.0,0,0,0
lrt,larantuka malay,0.0,0,0,0
nux,mehek,0.0,0,0,0
bxd,pela,0.0,0,0,0
jek,jeli,0.0,0,0,0
tmg,ternateño,0.0,0,0,0
kti,north muyu,0.0,0,0,0
pat,papitalai,0.0,0,0,0
jum,jumjum,0.0,0,0,0
cdz,koda,0.0,0,0,0
xok,xokleng,0.0,0,0,0
lnz,lonzo,0.0,0,0,0
usi,usui,0.0,0,0,0
num,niuafo'ou,0.0,0,0,0
hrt,hertevin,0.0,0,0,0
gih,condamine-upper clarence bandjalang,0.0,0,0,0
vra,vera'a,0.0,0,0,0
zml,madngele,0.0,0,0,0
kpb,mullu kurumba,0.0,0,0,0
zps,coatlán zapotec,0.0,0,0,0
nih,nyiha (tanzania),0.0,0,0,0
aan,anambé,0.0,0,0,0
gii,girirra,0.0,0,0,0
huo,hu,0.0,0,0,0
bzx,hainyaxo bozo,0.0,0,0,0
xmd,mbedam,0.0,0,0,0
klc,kolbila,0.0,0,0,0
gdx,godwari,0.0,0,0,0
bln,coastal-virac bikol,0.0,0,0,0
lwl,eastern lawa,0.0,0,0,0
yuu,yugh (retired),0.0,0,0,0
agy,southern alta,0.0,0,0,0
wbw,woi,0.0,0,0,0
kih,kilmeri,0.0,0,0,0
bhd,bhadrawahi,0.0,0,0,0
byu,buyang,0.0,0,0,0
nlz,nalögo,0.0,0,0,0
ibe,akpes,0.0,0,0,0
tda,tagdal,0.0,0,0,0
khc,tukang besi north,0.0,0,0,0
rkh,rakahanga-manihiki,0.0,0,0,0
lmd,lumun,0.0,0,0,0
xdq,kajtak,0.0,0,0,0
siy,sivandi,0.0,0,0,0
lgn,opo,0.0,0,0,0
mjt,sauria paharia,0.0,0,0,0
gyf,gungabula,0.0,0,0,0
ldm,landoma,0.0,0,0,0
hoz,hozo,0.0,0,0,0
xkv,kgalagadi,0.0,0,0,0
taf,tapirapé,0.0,0,0,0
ail,aimele,0.0,0,0,0
giu,gelao mulao,0.0,0,0,0
mmh,mehináku,0.0,0,0,0
mls,masalit,0.0,0,0,0
mxm,meramera,0.0,0,0,0
ojc,central ojibwa,0.0,0,0,0
nll,nihali,0.0,0,0,0
kxr,manus koro,0.0,0,0,0
buy,bullom so,0.0,0,0,0
ahn,àhàn,0.0,0,0,0
kwq,kwak,0.0,0,0,0
cuv,cuvok,0.0,0,0,0
yev,yeri,0.0,0,0,0
nmi,nyam,0.0,0,0,0
khe,korowai,0.0,0,0,0
mrd,western magar,0.0,0,0,0
aml,war-jaintia,0.0,0,0,0
pnu,jiongnai bunu,0.0,0,0,0
ywq,wuding-luquan yi,0.0,0,0,0
bcu,awad bing,0.0,0,0,0
khx,kanu,0.0,0,0,0
cde,chenchu,0.0,0,0,0
kxl,nepali kurux,0.0,0,0,0
onu,unua,0.0,0,0,0
tii,tiene,0.0,0,0,0
kjm,kháng,0.0,0,0,0
bpu,bongu,0.0,0,0,0
tkw,teanu,0.0,0,0,0
xnq,mozambican ngoni,0.0,0,0,0
xwj,wajuk,0.0,0,0,0
kre,panará,0.0,0,0,0
sis,siuslaw,0.0,0,0,0
adn,adang,0.0,0,0,0
ksq,kwaami,0.0,0,0,0
sdg,sauji,0.0,0,0,0
cik,chhitkul-rakchham,0.0,0,0,0
ngr,nanggu,0.0,0,0,0
mjd,northwest maidu,0.0,0,0,0
nyp,nyang'i,0.0,0,0,0
ago,tainae,0.0,0,0,0
sbc,kele (papua new guinea),0.0,0,0,0
mng,eastern mnong,0.0,0,0,0
mjr,malavedan,0.0,0,0,0
was,washo,0.0,0,0,0
btw,butuanon,0.0,0,0,0
xxk,kéo,0.0,0,0,0
xkg,kagoro,0.0,0,0,0
gcl,grenadian creole english,0.0,0,0,0
gda,gade lohar,0.0,0,0,0
lor,téén,0.0,0,0,0
sxg,shixing,0.0,0,0,0
loc,inonhan,0.0,0,0,0
eot,beti (côte d'ivoire),0.0,0,0,0
tov,upper taromi,0.0,0,0,0
idb,daman-diu portuguese,0.0,0,0,0
pbr,pangwa,0.0,0,0,0
yee,yimas,0.0,0,0,0
aqn,northern alta,0.0,0,0,0
kid,koshin,0.0,0,0,0
bab,bainounk-gujaher,0.0,0,0,0
xak,máku,0.0,0,0,0
zum,kumzari,0.0,0,0,0
bym,bidyara,0.0,0,0,0
skf,mekens,0.0,0,0,0
bbi,barombi,0.0,0,0,0
lmr,peripheral lembata,0.0,0,0,0
mme,tirax,0.0,0,0,0
kdv,kado,0.0,0,0,0
bez,bena (tanzania),0.0,0,0,0
aah,abu' arapesh,0.0,0,0,0
sgk,sangkong,0.0,0,0,0
sso,sissano,0.0,0,0,0
blp,blablanga,0.0,0,0,0
zmv,rimanggudhinma,0.0,0,0,0
opy,ofayé,0.0,0,0,0
tcu,southeastern tarahumara,0.0,0,0,0
byo,biyo,0.0,0,0,0
imi,anamuxra,0.0,0,0,0
tmb,avava,0.0,0,0,0
czh,hui chinese,0.0,0,0,0
pkt,maleng,0.0,0,0,0
ysm,yangon myanmar sign language,0.0,0,0,0
pzn,jejara naga,0.0,0,0,0
npa,nar phu,0.0,0,0,0
mgz,mbugwe,0.0,0,0,0
pnq,pana (burkina faso),0.0,0,0,0
gdm,laal,0.0,0,0,0
otr,otoro,0.0,0,0,0
mjq,malaryan,0.0,0,0,0
ncr,ncane-mungong,0.0,0,0,0
avv,avá-canoeiro,0.0,0,0,0
arv,arbore,0.0,0,0,0
bdf,biage,0.0,0,0,0
uzn,northern uzbek,0.0,0,0,0
shj,shatt,0.0,0,0,0
btg,gagnoa bété,0.0,0,0,0
sht,shasta,0.0,0,0,0
yud,judeo-tripolitanian arabic,0.0,0,0,0
mrs,maragus,0.0,0,0,0
awn,awngi,0.0,0,0,0
lgr,lengo,0.0,0,0,0
mxk,monumbo,0.0,0,0,0
gel,ut-main,0.0,0,0,0
kzg,kikai,0.0,0,0,0
yrn,yerong-southern buyang,0.0,0,0,0
emq,eastern muya,0.0,0,0,0
www,wawa,0.0,0,0,0
vkp,korlai portuguese,0.0,0,0,0
djm,jamsay dogon,0.0,0,0,0
mjs,miship,0.0,0,0,0
nyb,nyangbo,0.0,0,0,0
how,honi,0.0,0,0,0
xur,urartian,0.0,0,0,0
czn,zenzontepec chatino,0.0,0,0,0
hoj,hadothi,0.0,0,0,0
gmr,mirniny,0.0,0,0,0
ved,veddah,0.0,0,0,0
btc,bati (cameroon),0.0,0,0,0
myf,bambassi,0.0,0,0,0
mbe,molale,0.0,0,0,0
ybi,yamphu,0.0,0,0,0
ttk,totoro,0.0,0,0,0
mwt,moken,0.0,0,0,0
kqd,koy sanjaq jewish neo-aramaic,0.0,0,0,0
dju,kapriman,0.0,0,0,0
pug,phuie,0.0,0,0,0
kgq,kamoro,0.0,0,0,0
awc,cicipu,0.0,0,0,0
bay,batuley,0.0,0,0,0
ctz,zacatepec chatino,0.0,0,0,0
txi,ikpeng,0.0,0,0,0
lnm,pondi,0.0,0,0,0
dhn,dhanki,0.0,0,0,0
awt,araweté,0.0,0,0,0
ply,bolyu,0.0,0,0,0
unk,enawené-nawé,0.0,0,0,0
sia,akkala saami,0.0,0,0,0
azj,north azerbaijani,0.0,0,0,0
laq,pubiao-qabiao,0.0,0,0,0
bqy,kata kolok,0.0,0,0,0
yeu,yerukula,0.0,0,0,0
kbn,kare (central african republic),0.0,0,0,0
gml,middle low german,0.0,0,0,0
mvz,mesqan,0.0,0,0,0
wle,wolane,0.0,0,0,0
bof,bolon,0.0,0,0,0
grd,guruntum-mbaaru,0.0,0,0,0
uge,ughele,0.0,0,0,0
nkx,nkoroo,0.0,0,0,0
xir,xiriâna,0.0,0,0,0
nyh,nyigina,0.0,0,0,0
yha,baha buyang,0.0,0,0,0
eja,ejamat,0.0,0,0,0
myo,anfillo,0.0,0,0,0
lha,laha (viet nam),0.0,0,0,0
nbf,naxi (retired),0.0,0,0,0
kza,western karaboro,0.0,0,0,0
mij,mungbam,0.0,0,0,0
lik,liko,0.0,0,0,0
biw,kol (cameroon),0.0,0,0,0
xuj,jennu kurumba,0.0,0,0,0
rnp,rongpo,0.0,0,0,0
dil,dilling,0.0,0,0,0
aph,athpariya,0.0,0,0,0
nkq,nkami,0.0,0,0,0
akw,akwa,0.0,0,0,0
ltn,latundê,0.0,0,0,0
dmb,mombo dogon,0.0,0,0,0
lhs,mlahsô,0.0,0,0,0
ndg,ndengereko,0.0,0,0,0
boe,mundabli-mufu,0.0,0,0,0
nnk,nankina,0.0,0,0,0
kbs,kande,0.0,0,0,0
wiw,wirangu-nauo,0.0,0,0,0
xmu,kamu,0.0,0,0,0
pym,fyam,0.0,0,0,0
tcd,tafi,0.0,0,0,0
mfr,marithiel,0.0,0,0,0
kgo,krongo,0.0,0,0,0
jbn,nafusi,0.0,0,0,0
aao,algerian saharan arabic,0.0,0,0,0
pub,purum,0.0,0,0,0
szp,suabo,0.0,0,0,0
jud,worodougou,0.0,0,0,0
wlk,eel river athabaskan,0.0,0,0,0
phj,pahari newari,0.0,0,0,0
aes,alsea-yaquina,0.0,0,0,0
gru,kistane,0.0,0,0,0
mly,malay (individual language),0.0,0,0,0
kbx,ap ma,0.0,0,0,0
spv,sambalpuri,0.0,0,0,0
gis,north giziga,0.0,0,0,0
baf,nubaca,0.0,0,0,0
tnf,tangshewi,0.0,0,0,0
sen,nanerigé sénoufo,0.0,0,0,0
yac,pass valley yali,0.0,0,0,0
gwa,mbato,0.0,0,0,0
ncm,nambo,0.0,0,0,0
lcf,lubu,0.0,0,0,0
cdy,chadong,0.0,0,0,0
djc,dar daju daju,0.0,0,0,0
wbq,waddar,0.0,0,0,0
mpu,makuráp,0.0,0,0,0
aap,pará arára,0.0,0,0,0
mxl,maxi gbe,0.0,0,0,0
ugh,kubachi,0.0,0,0,0
tqq,tunni,0.0,0,0,0
mei,midob,0.0,0,0,0
daq,dandami maria,0.0,0,0,0
bpc,mbuk,0.0,0,0,0
aou,a'ou,0.0,0,0,0
auh,aushi,0.0,0,0,0
tti,tobati,0.0,0,0,0
enu,enu,0.0,0,0,0
mle,manambu,0.0,0,0,0
ptn,patani,0.0,0,0,0
zmr,maranunggu,0.0,0,0,0
kfc,konda-dora,0.0,0,0,0
kdq,koch,0.0,0,0,0
mpk,mbara (chad),0.0,0,0,0
yil,yindjilandji,0.0,0,0,0
bgx,rumelian turkish,0.0,0,0,0
khn,khandesi,0.0,0,0,0
nxa,nauete,0.0,0,0,0
auj,awjilah,0.0,0,0,0
brb,brao,0.0,0,0,0
swo,shanenawa,0.0,0,0,0
oma,omaha-ponca,0.0,0,0,0
cks,tayo,0.0,0,0,0
fuy,fuyug,0.0,0,0,0
srs,sarsi,0.0,0,0,0
nku,bouna kulango,0.0,0,0,0
bbh,bugan,0.0,0,0,0
tju,tjurruru,0.0,0,0,0
ccj,kasanga,0.0,0,0,0
svc,vincentian creole english,0.0,0,0,0
mmw,emae,0.0,0,0,0
kxh,karo (ethiopia),0.0,0,0,0
yww,yawarawarga,0.0,0,0,0
wub,wunambal,0.0,0,0,0
lkd,lakondê,0.0,0,0,0
iks,inuit sign language,0.0,0,0,0
llq,lolak,0.0,0,0,0
tyn,kombai,0.0,0,0,0
lle,lele (papua new guinea),0.0,0,0,0
wtm,mewati,0.0,0,0,0
nug,nungali,0.0,0,0,0
nzd,nzadi,0.0,0,0,0
kkz,kaska,0.0,0,0,0
wbv,wajarri,0.0,0,0,0
mhd,mbugu,0.0,0,0,0
flh,abawiri,0.0,0,0,0
zpx,san baltazar loxicha zapotec,0.0,0,0,0
bxl,jalkunan,0.0,0,0,0
vml,malgana,0.0,0,0,0
lzl,naman,0.0,0,0,0
iyx,yaka (congo),0.0,0,0,0
cox,nanti,0.0,0,0,0
nmk,namakura,0.0,0,0,0
sui,suki,0.0,0,0,0
hih,pamosu,0.0,0,0,0
gqa,ga'anda,0.0,0,0,0
pcg,paniya,0.0,0,0,0
mdg,massalat,0.0,0,0,0
tix,southern tiwa,0.0,0,0,0
bva,barain,0.0,0,0,0
puo,ksingmul,0.0,0,0,0
dec,dagik,0.0,0,0,0
seq,senar de kankalaba,0.0,0,0,0
asn,xingú asuriní,0.0,0,0,0
ahb,axamb,0.0,0,0,0
wxw,wardandi,0.0,0,0,0
tbj,tiang,0.0,0,0,0
aig,antigua and barbuda creole english,0.0,0,0,0
bbn,uneapa,0.0,0,0,0
dms,dampelas,0.0,0,0,0
xem,mateq,0.0,0,0,0
xno,anglo-norman,0.0,0,0,0
dal,dahalo,0.0,0,0,0
rmw,welsh romani,0.0,0,0,0
wno,wano,0.0,0,0,0
mep,miriwung,0.0,0,0,0
jml,jumli,0.0,0,0,0
kcd,ngkontar ngkolmpu,0.0,0,0,0
xop,kopar,0.0,0,0,0
lsv,sivia sign language,0.0,0,0,0
kxs,kangjia,0.0,0,0,0
bhs,buwal,0.0,0,0,0
gyn,guyanese creole english,0.0,0,0,0
pku,paku,0.0,0,0,0
kic,kickapoo,0.0,0,0,0
nbi,mao naga,0.0,0,0,0
lwt,lewotobi,0.0,0,0,0
nxn,ngawun,0.0,0,0,0
dgb,bunoge dogon,0.0,0,0,0
wut,wutung,0.0,0,0,0
oon,önge,0.0,0,0,0
gva,guaná (paraguay),0.0,0,0,0
aol,alorese,0.0,0,0,0
vin,vinza,0.0,0,0,0
dao,daai chin,0.0,0,0,0
omr,old marathi,0.0,0,0,0
nzz,nanga,0.0,0,0,0
vmg,minigir,0.0,0,0,0
gqu,central gelao-qau,0.0,0,0,0
plc,central palawano,0.0,0,0,0
tsp,northern toussian,0.0,0,0,0
kbv,dera (indonesia),0.0,0,0,0
pln,palenquero,0.0,0,0,0
aga,aguano,0.0,0,0,0
yta,lavu-yongsheng-talu,0.0,0,0,0
ybk,bokha,0.0,0,0,0
myi,mina (india),0.0,0,0,0
dep,pidgin delaware,0.0,0,0,0
nti,natioro,0.0,0,0,0
nsc,nshi,0.0,0,0,0
nqt,nteng,0.0,0,0,0
awe,awetí,0.0,0,0,0
mmv,miriti,0.0,0,0,0
woc,wogeo,0.0,0,0,0
tlu,tulehu,0.0,0,0,0
sqa,shama-sambuga,0.0,0,0,0
njt,ndyuka-trio pidgin,0.0,0,0,0
sar,saraveca,0.0,0,0,0
smm,musasa,0.0,0,0,0
wir,wiraféd,0.0,0,0,0
cjn,chenapian,0.0,0,0,0
yos,yos,0.0,0,0,0
hik,seit-kaitetu,0.0,0,0,0
bmn,bina (papua new guinea),0.0,0,0,0
woa,tyaraity,0.0,0,0,0
tlt,teluti,0.0,0,0,0
prh,porohanon,0.0,0,0,0
mrf,elseng,0.0,0,0,0
lur,laura,0.0,0,0,0
kvm,kendem,0.0,0,0,0
sxc,sicana,0.0,0,0,0
vau,vanuma,0.0,0,0,0
msu,musom,0.0,0,0,0
evh,uvbie,0.0,0,0,0
brm,barambu,0.0,0,0,0
bjc,bariji,0.0,0,0,0
bmd,baga manduri,0.0,0,0,0
xtt,tacahua-yolotepec mixtec,0.0,0,0,0
xnh,kuanhua,0.0,0,0,0
nqq,chen-kayu naga,0.0,0,0,0
fie,fyer,0.0,0,0,0
mst,cataelano mandaya,0.0,0,0,0
tsk,tseku,0.0,0,0,0
bxa,bauro,0.0,0,0,0
ask,ashkun,0.0,0,0,0
kja,mlap,0.0,0,0,0
rbb,rumai palaung,0.0,0,0,0
kuo,kumukio,0.0,0,0,0
kpd,koba,0.0,0,0,0
paj,ipeka-tapuia,0.0,0,0,0
tqr,torona,0.0,0,0,0
mfl,putai,0.0,0,0,0
dti,ana tinga dogon,0.0,0,0,0
xwr,kwerba mamberamo,0.0,0,0,0
cbm,"kaqchikel, yepocapa southwestern",0.0,0,0,0
lwe,lewo eleng,0.0,0,0,0
kii,kitsai,0.0,0,0,0
cuj,mashco piro,0.0,0,0,0
ptq,pattapu,0.0,0,0,0
vmi,miwa,0.0,0,0,0
osn,old sundanese,0.0,0,0,0
xow,kowaki,0.0,0,0,0
lgo,lango (south sudan),0.0,0,0,0
kdg,seba,0.0,0,0,0
gke,ndai,0.0,0,0,0
bvw,boga,0.0,0,0,0
bfh,mblafe-ránmo,0.0,0,0,0
axg,mato grosso arára,0.0,0,0,0
ydd,eastern yiddish,0.0,0,0,0
mds,maria (papua new guinea),0.0,0,0,0
ruu,lanas lobu,0.0,0,0,0
nnj,nyangatom,0.0,0,0,0
wij,wik-iiyanh,0.0,0,0,0
ert,eritai,0.0,0,0,0
xwe,xwela gbe,0.0,0,0,0
twy,tawoyan,0.0,0,0,0
ldq,lufu,0.0,0,0,0
rmd,traveller danish,0.0,0,0,0
oos,old ossetic,0.0,0,0,0
njd,ndonde hamba,0.0,0,0,0
yis,yis,0.0,0,0,0
atp,pudtol atta,0.0,0,0,0
ptt,enrekang,0.0,0,0,0
uar,tairuma,0.0,0,0,0
clt,lautu,0.0,0,0,0
kef,kpessi,0.0,0,0,0
ymo,yangum mon,0.0,0,0,0
tdc,emberá-tadó,0.0,0,0,0
cib,ci gbe,0.0,0,0,0
ypw,puwa yi,0.0,0,0,0
ngj,ngie,0.0,0,0,0
vae,vale,0.0,0,0,0
alk,alak,0.0,0,0,0
slj,salumá,0.0,0,0,0
whu,wahau kayan,0.0,0,0,0
fuj,ko,0.0,0,0,0
xve,venetic,0.0,0,0,0
rao,rao,0.0,0,0,0
noc,nuk,0.0,0,0,0
stg,trieng,0.0,0,0,0
pek,penchal,0.0,0,0,0
puc,punan merap,0.0,0,0,0
mkk,byep-besep,0.0,0,0,0
jmw,mouwase,0.0,0,0,0
kae,ketangalan,0.0,0,0,0
saa,saba,0.0,0,0,0
spb,sepa (indonesia),0.0,0,0,0
nqm,ndom,0.0,0,0,0
liq,libido,0.0,0,0,0
tkz,takua,0.0,0,0,0
dir,dirim,0.0,0,0,0
zmg,marti ke,0.0,0,0,0
duq,dusun malang,0.0,0,0,0
pel,pekal,0.0,0,0,0
lnh,lanoh,0.0,0,0,0
dkr,kuijau,0.0,0,0,0
dsk,dokshi,0.0,0,0,0
cin,cinta larga,0.0,0,0,0
gsc,gascon (retired),0.0,0,0,0
pdo,padoe,0.0,0,0,0
pld,polari,0.0,0,0,0
pwa,pawaia,0.0,0,0,0
xkm,mahakam kenyah,0.0,0,0,0
mho,mashi (zambia),0.0,0,0,0
ynl,yangulam,0.0,0,0,0
lbl,libon,0.0,0,0,0
amo,amo,0.0,0,0,0
hmy,southern guiyang hmong,0.0,0,0,0
bpt,barrow point,0.0,0,0,0
myh,makah,0.0,0,0,0
siq,sonia,0.0,0,0,0
bbz,babalia creole arabic,0.0,0,0,0
kmx,waboda,0.0,0,0,0
igw,igwe,0.0,0,0,0
vmv,valley maidu,0.0,0,0,0
ggm,gugu mini,0.0,0,0,0
nsx,nsongo,0.0,0,0,0
lpn,long phuri naga,0.0,0,0,0
zmc,margany,0.0,0,0,0
leq,lembena,0.0,0,0,0
mlo,mlomp,0.0,0,0,0
kll,kagan kalagan,0.0,0,0,0
nlm,mankiyali,0.0,0,0,0
klg,tagakaulu kalagan,0.0,0,0,0
kyj,karao,0.0,0,0,0
cur,chhulung,0.0,0,0,0
ycp,chepya,0.0,0,0,0
wem,weme gbe,0.0,0,0,0
bju,busuu,0.0,0,0,0
arj,arapaso,0.0,0,0,0
bjf,barzani jewish neo-aramaic,0.0,0,0,0
zmj,maridjabin,0.0,0,0,0
llx,lauan,0.0,0,0,0
ixj,ixil chajul,0.0,0,0,0
mvk,mekmek,0.0,0,0,0
xty,yoloxochitl mixtec,0.0,0,0,0
occ,occidental,0.0,0,0,0
tmu,iau,0.0,0,0,0
mgf,maklew,0.0,0,0,0
vel,veluws,0.0,0,0,0
iko,olulumo-ikom,0.0,0,0,0
abw,pal,0.0,0,0,0
ica,ede ica,0.0,0,0,0
aid,alngith,0.0,0,0,0
nue,ngundu,0.0,0,0,0
byl,bayono,0.0,0,0,0
thy,tha,0.0,0,0,0
awr,awera,0.0,0,0,0
hii,hinduri,0.0,0,0,0
azd,eastern durango nahuatl,0.0,0,0,0
lbu,labu,0.0,0,0,0
teb,tetete,0.0,0,0,0
tch,turks and caicos creole english,0.0,0,0,0
fgr,gélé (dar fongoro),0.0,0,0,0
ngy,tibea,0.0,0,0,0
mcc,bitur,0.0,0,0,0
kjx,ramopa,0.0,0,0,0
giy,giyug,0.0,0,0,0
vmr,marenje,0.0,0,0,0
zaf,ayoquesco zapotec,0.0,0,0,0
toz,to,0.0,0,0,0
mvg,yucuañe mixtec,0.0,0,0,0
bnf,masiwang,0.0,0,0,0
sde,vori,0.0,0,0,0
tgf,chalikha,0.0,0,0,0
aio,aiton,0.0,0,0,0
ner,yahadian,0.0,0,0,0
nil,nila,0.0,0,0,0
phq,phana',0.0,0,0,0
awm,arawum,0.0,0,0,0
dgw,daungwurrung,0.0,0,0,0
mjb,maklere,0.0,0,0,0
tjn,tonjon,0.0,0,0,0
xmg,mengaka,0.0,0,0,0
ogn,ogan,0.0,0,0,0
sbi,seti,0.0,0,0,0
kkx,kohin,0.0,0,0,0
atm,ata,0.0,0,0,0
gbv,gbanu,0.0,0,0,0
bnh,banawá,0.0,0,0,0
bmg,bamwe,0.0,0,0,0
xkq,koroni,0.0,0,0,0
wei,were,0.0,0,0,0
orz,ormu,0.0,0,0,0
bqo,balo,0.0,0,0,0
vkn,koro nulu,0.0,0,0,0
lof,logol,0.0,0,0,0
yio,dayao yi,0.0,0,0,0
tzu,"tzotzil, huixtán",0.0,0,0,0
vkj,kujarge,0.0,0,0,0
doz,dorze,0.0,0,0,0
nsy,nasal,0.0,0,0,0
egm,benamanga,0.0,0,0,0
yig,wusa nasu,0.0,0,0,0
jru,japrería,0.0,0,0,0
jbw,yawijibaya,0.0,0,0,0
nsw,navut,0.0,0,0,0
ili,ili turki,0.0,0,0,0
mgy,mbunga,0.0,0,0,0
amq,amahai,0.0,0,0,0
mvc,"mam, central",0.0,0,0,0
owi,owiniga,0.0,0,0,0
cno,con,0.0,0,0,0
ngo,,0.0,0,0,0
urg,urigina,0.0,0,0,0
amb,ambo,0.0,0,0,0
abm,abanyom,0.0,0,0,0
ccq,chaungtha,0.0,0,0,0
ugy,uruguayan sign language,0.0,0,0,0
pry,pray 3,0.0,0,0,0
xwc,woccon,0.0,0,0,0
aag,ambrak,0.0,0,0,0
coy,coyaima,0.0,0,0,0
xmb,mbonga,0.0,0,0,0
ids,idesa,0.0,0,0,0
clj,laitu chin,0.0,0,0,0
mqx,mamuju,0.0,0,0,0
and,ansus,0.0,0,0,0
xbo,bolgarian,0.0,0,0,0
msq,caac,0.0,0,0,0
snx,sam,0.0,0,0,0
mjn,ma (papua new guinea),0.0,0,0,0
kwl,pan,0.0,0,0,0
bzp,kemberano,0.0,0,0,0
xia,xiandao,0.0,0,0,0
btr,baetora,0.0,0,0,0
tvi,tulai,0.0,0,0,0
lpo,lipo,0.0,0,0,0
muo,nyong,0.0,0,0,0
bpv,bian marind,0.0,0,0,0
zbu,bu (zaranda),0.0,0,0,0
yiz,azhe,0.0,0,0,0
mcl,macaguaje,0.0,0,0,0
xdc,dacian,0.0,0,0,0
awy,edera awyu,0.0,0,0,0
myt,sangab mandaya,0.0,0,0,0
bmz,baramu,0.0,0,0,0
cry,kyoli,0.0,0,0,0
bja,budza,0.0,0,0,0
lyg,india lyngam,0.0,0,0,0
itm,itu mbon uzo,0.0,0,0,0
tbr,tumtum,0.0,0,0,0
syi,seki,0.0,0,0,0
xin,xinca,0.0,0,0,0
xbw,kambiwá,0.0,0,0,0
lno,lango-logire-logir,0.0,0,0,0
krt,tumari kanuri,0.0,0,0,0
llk,lelak,0.0,0,0,0
daw,davawenyo,0.0,0,0,0
ccy,southern zhuang,0.0,0,0,0
nnu,dwang,0.0,0,0,0
okd,okodia,0.0,0,0,0
kxb,krobu,0.0,0,0,0
sqh,shau,0.0,0,0,0
xvi,kamviri,0.0,0,0,0
uan,kuan,0.0,0,0,0
ypb,labo phowa,0.0,0,0,0
thh,northern tarahumara,0.0,0,0,0
kns,kensiu,0.0,0,0,0
swy,sarua,0.0,0,0,0
byj,bina (nigeria),0.0,0,0,0
lul,olu'bo,0.0,0,0,0
nbv,ngamambo,0.0,0,0,0
bvh,bure,0.0,0,0,0
slb,kahumamahon saluan,0.0,0,0,0
bvf,boor,0.0,0,0,0
ebc,beginci,0.0,0,0,0
lfa,lefa,0.0,0,0,0
xbj,birrpayi,0.0,0,0,0
adq,adangbe,0.0,0,0,0
wuy,wauyai,0.0,0,0,0
bmo,bambalang,0.0,0,0,0
bwc,bwile,0.0,0,0,0
jeu,jonkor bourmataguil,0.0,0,0,0
kmb,kimbundu,0.0,0,0,0
rbl,daraga,0.0,0,0,0
cfd,cara,0.0,0,0,0
zma,manda (australia),0.0,0,0,0
sdx,sibu melanau,0.0,0,0,0
spe,sepa (papua new guinea),0.0,0,0,0
pcb,pear,0.0,0,0,0
xac,kachari,0.0,0,0,0
nye,nyengo,0.0,0,0,0
bfb,pauri bareli,0.0,0,0,0
sao,sause,0.0,0,0,0
dsn,dusner,0.0,0,0,0
mae,bo-rukul,0.0,0,0,0
iti,inlaod itneg,0.0,0,0,0
nhz,santa maría la alta nahuatl,0.0,0,0,0
aut,austral,0.0,0,0,0
xkd,mendalam kayan,0.0,0,0,0
pbl,mak (nigeria),0.0,0,0,0
sta,kisetla,0.0,0,0,0
trd,turi,0.0,0,0,0
tpc,azoyú me'phaa,0.0,0,0,0
hld,halang doan,0.0,0,0,0
xsd,sidetic,0.0,0,0,0
oor,oorlams,0.0,0,0,0
